Pharmaceutics
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"31,224","5.400","4.800","6.000","1.200","2,804","76.71","81.800",
2021,"19,762","6.525","5.728","7.227","1.053","2,132","77.91","86.201",
2020,"9,731","6.321","5.449","6.734","1.291","1,213","78.98","89.674",
2019,"3,227","4.421","3.801","N/A","0.849","682","81.23","83.948",
2018,"1,482","4.773","4.205","N/A","0.505","285","74.39","90.449",
2017,"992","3.746","3.701","N/A","0.404","57","71.93","80.268",


Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
