Scientific Reports
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"738,368","4.600","4.400","4.900","0.900","21,127","99.84","70.500",
2021,"696,335","4.997","4.784","5.516","0.973","23,363","99.67","75.000",
2020,"541,619","4.380","4.170","5.134","0.783","21,222","99.80","77.083",
2019,"386,857","3.998","3.788","4.576","0.527","19,873","99.86","76.761",
2018,"302,086","4.011","3.799","4.525","0.679","17,152","99.80","78.986",
2017,"192,841","4.122","3.745","4.609","0.576","24,809","99.99","82.031",
2016,"101,255","4.259","3.781","4.847","0.647","20,517","99.79","85.156",
2015,"46,918","5.228","4.791","5.525","0.559","10,642","99.84","89.683",
2014,"22,336","5.578","5.198","5.597","0.722","3,931","99.92","92.105",
2013,"7,118","5.078","4.695","5.078","0.823","2,484","99.96","91.818",
2012,"1,158","2.927","2.771","2.927","0.703","792","100.00","86.607",
2011,"23","N/A","N/A","N/A","0.113","204","100.00","N/A",


Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
