journal,journal_abbr,issn,qualis_2017_2020,if_2021_jcr,if_2022_jcr,quartile_2022,area_2022,last_updated_ranking
Advanced Materials Technologies,Adv Mater Technol,2365-709X,A1,8.856,6.8,Q1,Materials Science,05-05-2024
ACS Omega,ACS Omega,2470-1343,A4,4.132,4.1,Q1,Chemical Engineering,05-01-2024
Antioxidants,Antioxidants,2076-3921,B1,7.675,7,Q1,Biochemistry,18-09-2023
Agriculture,Agriculture,2077-0472,A3,3.408,3.6,Q2,Food Science,18-09-2023
Amino Acids,Amino Acids,0939-4451,A2,3.789,3.5,Q2,Clinical Biochemistry,18-09-2023
Analytical Biochemistry,Anal Biochem,0003-2697,A2,3.191,2.9,Q3,Biochemistry,18-09-2023
Biochemistry and Molecular Biology Education,Biochem Mol Biol Educ,1470-8175,B2,1.369,1.4,Q3,Biochemistry,18-09-2023
Biomolecules,Biomolecules,2218-273X,B2,6.064,5.5,Q1,Biochemistry,18-09-2023
Cancer Nanotechnology,Cancer Nanotechnol,1868-6966,A1,7.917,5.7,Q1,Pharmaceutical Science,18-09-2023
Comparative Biochemistry and Physiology A,Comp Biochem Physiol A,1095-6433,A1,2.888,2.3,Q1,Animal Science and Zoology,18-09-2023
"Estuarine, Coastal and Shelf Science",Estuar Coast Shelf Sci,0272-7714,A2,3.229,2.8,Q1,Aquatic Science,18-09-2023
F1000Research,F1000Res,2046-1402,A3,NA,NA,Q1,"Pharmacology, Toxicology and Pharmaceutics",18-09-2023
Free Radical Biology and Medicine,Free Radic Biol Med,1873-4596,A1,8.101,7.4,Q1,Biochemistry,18-09-2023
Frontiers in Pharmacology,Front Pharmacol,1663-9812,A2,5.988,5.6,Q1,Pharmacology,18-09-2023
Frontiers in Physiology,Front Physiol,1664-042X,A2,4.755,4,Q1,Physiology (medical),18-09-2023
Frontiers in Research Metrics and Analytics,Front Res Metr Anal,2504-0537,B1,NA,NA,NA,NA,18-09-2023
Insect Biochemistry and Molecular Biology,Insect Biochem Mol Biol,0965-1748,A1,4.421,3.8,Q1,Biochemistry,18-09-2023
International Journal of Environmental Research and Public Health,Int J Environ Res Public Health,1660-4601,A1,4.614,NA,Q2,"Health, Toxicology and Mutagenesis",18-09-2023
International Journal of Molecular Sciences,Int J Mol Sci,1422-0067,A2,6.208,5.6,Q1,Organic Chemistry,18-09-2023
Journal of Agricultural and Food Chemistry,J Agric Food Chem,0021-8561,A1,5.895,6.1,Q1,Agricultural and Biological Sciences,18-09-2023
Journal of Cellular and Molecular Medicine,J Cell Mol Med,1582-1838,A2,5.295,5.3,Q2,Molecular Medicine,18-09-2023
Journal of Comparative Physiology B,J Comp Physiol B,0174-1578,A1,2.23,2,Q1,Animal Science and Zoology,18-09-2023
Journal of Medicinal Chemistry,J Med Chem,0022-2623,A1,8.039,7.3,Q1,Drug Discovery,18-09-2023
Journal of Natural Products,J Nat Prod,0163-3864,A1,4.803,5.1,Q1,Drug Discovery,18-09-2023
Journal of Visualized Experiments,J Vis Exp,1940-087X,B1,1.424,1.2,Q2,"Biochemistry, Genetics and Molecular Biology",18-09-2023
Molecules,Molecules,1420-3049,A2,4.927,4.6,Q1,Pharmaceutical Science,18-09-2023
PeerJ,PeerJ,2167-8359,A2,3.061,2.7,Q1,Agricultural and Biological Sciences,18-09-2023
Peptides,Peptides,0196-9781,A3,3.867,3,Q2,Biochemistry,18-09-2023
Proceedings of the Royal Society B,Proc R Soc B,0962-8452,A1,5.531,4.7,Q1,"Biochemistry, Genetics and Molecular Biology",18-09-2023
Science of the Total Environment,Sci Total Environ,0048-9697,A1,10.754,9.8,Q1,Environmental Chemistry,18-09-2023
Scientific Reports,Sci Rep,2045-2322,A1,4.997,4.6,Q1,Multidisciplinary,18-09-2023
Spectrochimica Acta A,Spectrochim Acta A,1386-1425,A1,4.831,4.4,Q2,Analytical Chemistry,18-09-2023
Pharmaceutics,Pharmaceutics,1999-4923,A1,6.525,5.4,Q1,Pharmaceutical Science,18-09-2023
