Frontiers in Pharmacology
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"73,786","5.600","5.100","6.100","0.900","5,377","71.47","83.900",
2021,"51,910","5.988","5.616","6.455","0.875","3,824","74.42","82.258",
2020,"34,502","5.811","5.553","6.006","0.932","2,156","71.99","85.688",
2019,"18,650","4.225","4.015","4.604","0.629","1,514","73.65","80.996",
2018,"11,518","3.845","3.524","4.469","0.617","1,495","78.80","78.090",
2017,"6,812","3.831","3.589","4.439","0.521","917","80.15","81.801",
2016,"4,299","4.400","4.261","4.275","0.475","493","74.24","87.354",
2015,"3,083","4.418","4.240","4.269","0.537","268","58.21","87.255",
2014,"1,946","3.802","3.657","3.798","0.975","237","35.44","80.196",


Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
