Frontiers in Physiology
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"53,422","4.000","3.800","4.700","0.700","2,642","77.29","75.300",
2021,"47,264","4.755","4.478","5.316","0.697","2,292","77.57","75.926",
2020,"35,011","4.566","4.340","4.805","0.678","1,697","74.72","83.333",
2019,"21,190","3.367","3.114","3.697","0.586","1,559","81.91","75.926",
2018,"14,871","3.201","2.841","3.921","0.548","1,809","80.38","69.753",
2017,"10,356","3.394","3.115","4.180","0.455","1,056","83.43","76.506",
2016,"7,664","4.134","3.948","4.187","0.479","622","77.65","82.738",
2015,"5,627","4.031","3.834","3.882","0.466","367","63.76","83.735",
2014,"3,574","3.534","3.293","3.461","0.749","474","52.32","76.506",


Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
