Jove-Journal of Visualized Experiments
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"23,464","1.200","1.200","1.600","0.200","1,080","100.00","26.700",
2021,"24,901","1.424","1.373","1.789","0.285","973","100.00","30.405",
2020,"20,723","1.355","1.309","1.696","0.273","993","100.00","32.639",
2019,"15,938","1.163","1.099","1.539","0.216","1,391","100.00","37.324",
2018,"13,650","1.108","1.049","1.682","0.196","1,415","100.00","41.304",
2017,"10,616","1.184","1.119","1.677","0.164","1,199","100.00","52.344",
2016,"7,896","1.232","1.189","1.659","0.277","675","100.00","57.031",
2015,"5,738","1.113","1.049","N/A","0.157","824","100.00","62.698",
2014,"4,551","1.325","1.230","N/A","0.201","941","100.00","71.053",


Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
