PeerJ
Year: 2022
Edition: SCIE

All Years
Year,Total Citations,Journal impact factor,JIF without self cites,5 Year Impact Factor,Immediacy Index,Citable items,% of articles in Citable items,Average JIF Percentile
2022,"41,980","2.700","2.600","3.100","0.500","1,864","97.21","51.400",
2021,"39,302","3.061","2.949","3.537","0.527","2,086","97.70","56.081",
2020,"29,907","2.984","2.873","3.369","0.488","2,285","98.12","63.194",
2019,"17,984","2.379","2.247","2.810","0.352","2,125","98.82","55.634",
2018,"11,911","2.353","2.201","2.700","0.339","1,905","98.53","61.594",
2017,"7,377","2.118","1.989","2.469","0.335","1,369","98.32","71.094",
2016,"3,993","2.177","2.031","2.354","0.345","1,298","98.92","69.531",
2015,"1,765","2.183","2.073","2.183","0.284","799","99.25","78.571",
2014,"655","2.112","1.978","2.112","0.350","471","100.00","78.070",


Copyright (c) 2023 Clarivate 
By exporting the selected data; you agree to the data usage policy set forth in the Terms of Use 
